id,clutch,day_hatch,day_photo,temp,egg_treat,sp,mass)hatch,SVL_hatch,Tail_length_hatch,Weigth,Distance.moved,Time_hide_sec,Time_snout_sec,Time_emerge_sec,SVL,Tail,Total,Tail_intact,day,speed_1m_s,burst_25cm,25fast,age,Notes,Notes.1,Notes.2.y
LD021_20,CL007_20,1/12/2020,31/1/2021,cold,ablated,Deli,0.134,19.015,25.873,0.503,1453.31,43,364,1610,28.506,NA,NA,Yes,1,2.88,0.95,0.5,61,tail tip is invisible,,
LD027_20,CL008_20,8/12/2020,31/1/2021,cold,control,Deli,0.109,17.989,22.382,0.324,661.613,6,2887,3724,25.34,36.999,62.339,Yes,1,2.71,1.07,0.47,54,,,
LD035_20,CL012_20,7/12/2020,11/2/2021,cold,control,Deli,0.112,17.167,22.305,0.359,62.0564,11,2036,5219,26.035,35.531,61.566,Yes,1,3.21,1.21,0.52,66,,,
LD046_20,CL015_20,24/11/2020,31/1/2021,hot,ablated,Deli,0.103,17.877,24.752,0.321,605.448,208,NA,NA,25.036,40.75,65.786,Yes,1,4.85,1.31,1,68,,,
LD047_20,CL015_20,10/12/2020,31/1/2021,cold,control,Deli,0.119,18.047,26.236,0.345,482.63,20,4844,NA,25.286,NA,NA,Yes,1,2.84,0.76,0.68,52,tail tip is invisible,,
LD049_20,CL016_20,14/12/2020,31/1/2021,cold,control,Deli,0.136,17.932,25.872,0.288,1582.96,11,3796,5023,23.907,36.375,60.282,Yes,1,3.11,1.15,0.61,48,,,
LD050_20,CL016_20,16/12/2020,11/2/2021,cold,ablated,Deli,0.126,18.571,24.267,0.316,752.477,177,493,932,24.177,36.386,60.563,Yes,1,5.36,1.45,1.14,57,,,
LD058_20,CL019_20,24/11/2020,31/1/2021,hot,ablated,Deli,0.088,NA,NA,0.398,531.908,2,1416,1750,25.3,45.39,70.69,Yes,1,2.81,0.88,0.6,68,,,
LD061_20,CL020_20,25/11/2020,11/2/2021,hot,ablated,Deli,0.126,18.799,25.124,0.486,371.93,1,NA,NA,30.147,44.976,75.123,Yes,1,2.12,0.79,0.01,78,wrong V1.1,,
LD064_20,CL020_20,27/11/2020,21/2/2021,hot,control,Deli,0.131,18.88,28.375,0.472,645.86,3,3298,4655,25.883,NA,NA,Yes,1,2.29,0.64,0.5,86,has two photos,,
