id,clutch,day_hatch,day_photo,temp,egg_treat,sp,Weigth,Distance.moved,Movement,Movement.1,Movement.2,Movement.3,Movement.4,Movement.5,Time_hide_sec,Time_snout_sec,Time_emerge_sec,Notes.y,bd_liz_id.y,SVL,Tail,Total,Tail_intact,Notes,Notes.1,Notes.2.y,day,speed_1m_s,burst_25cm,day_hatch,day_photo,age
LD021_20,CL007_20,1-Dec-20,31-Jan-21,cold,ablated,Deli,0.503,1453.31,225.279,1.99999,972.398,0.039999,NA,NA,43,364,1610,,LD021_20,28.506,NA,NA,Yes,tail tip is invisible,,,1,2.88,0.95,1-Dec-20,31-Jan-21,61
LD027_20,CL008_20,8/12/2020,31/1/2021,cold,control,Deli,0.324,661.613,1.0958,130.4,0.279999,8.91364,1069.64,0.039999,6,2887,3724,,LD027_20,25.34,36.999,62.339,Yes,,,,1,2.71,1.07,8/12/2020,31/1/2021,54
LD035_20,CL012_20,7/12/2020,11/2/2021,cold,control,Deli,0.359,62.0564,6.91998,499.639,1193.12,0.039999,NA,NA,11,2036,5219,,LD035_20,26.035,35.531,61.566,Yes,,,,1,3.21,1.21,7/12/2020,11/2/2021,66
LD046_20,CL015_20,24/11/2020,31/1/2021,hot,ablated,Deli,0.321,605.448,85.4398,0.079999,1108.04,0.039999,NA,NA,208,NA,NA,,LD046_20,25.036,40.75,65.786,Yes,,,,1,4.85,1.31,24/11/2020,31/1/2021,68
LD047_20,CL015_20,10/12/2020,31/1/2021,cold,control,Deli,0.345,482.63,0.852306,77.5598,148.64,12.2008,1122.48,0.039999,20,4844,NA,,LD047_20,25.286,NA,NA,Yes,tail tip is invisible,,,1,2.84,0.76,10/12/2020,31/1/2021,52
LD049_20,CL016_20,14/12/2020,31/1/2021,cold,control,Deli,0.288,1582.96,0.80696,273.559,85.9198,2.72493,926.478,0.039999,11,3796,5023,,LD049_20,23.907,36.375,60.282,Yes,,,,1,3.11,1.15,14/12/2020,31/1/2021,48
LD050_20,CL016_20,16/12/2020,11/2/2021,cold,ablated,Deli,0.316,752.477,134.24,11.48,1065.8,0.039999,NA,NA,177,493,932,,LD050_20,24.177,36.386,60.563,Yes,,,,1,5.36,1.45,16/12/2020,11/2/2021,57
LD058_20,CL019_20,24/11/2020,31/1/2021,hot,ablated,Deli,0.398,531.908,0.957301,85.1998,90.4398,12.3871,1114.84,0.039999,2,1416,1750,,LD058_20,25.3,45.39,70.69,Yes,,,,1,2.81,0.88,24/11/2020,31/1/2021,68
LD061_20,CL020_20,25/11/2020,11/2/2021,hot,ablated,Deli,0.486,371.93,53.5599,86.3598,1146.48,0.039999,NA,NA,1,NA,NA,,LD061_20,30.147,44.976,75.123,Yes,wrong V1.1,,,1,2.12,0.79,25/11/2020,11/2/2021,78
LD064_20,CL020_20,27/11/2020,21/2/2021,hot,control,Deli,0.472,645.86,1.17866,106.08,0.839997,11.847,1078.08,0.039999,3,3298,4655,,LD064_20,25.883,NA,NA,Yes,has two photos,,,1,2.29,0.64,27/11/2020,21/2/2021,86
