id,clutch,temp,egg_treat,sp,Weigth,SVL,Tail,Total,age
LD021_20,CL007_20,cold,ablated,Deli,0.503,28.506,NA,NA,61
LD027_20,CL008_20,cold,control,Deli,0.324,25.34,36.999,62.339,54
LD035_20,CL012_20,cold,control,Deli,0.359,26.035,35.531,61.566,66
LD046_20,CL015_20,hot,ablated,Deli,0.321,25.036,40.75,65.786,68
LD047_20,CL015_20,cold,control,Deli,0.345,25.286,NA,NA,52
LD049_20,CL016_20,cold,control,Deli,0.288,23.907,36.375,60.282,48
LD050_20,CL016_20,cold,ablated,Deli,0.316,24.177,36.386,60.563,57
LD058_20,CL019_20,hot,ablated,Deli,0.398,25.3,45.39,70.69,68
LD061_20,CL020_20,hot,ablated,Deli,0.486,30.147,44.976,75.123,78
LD064_20,CL020_20,hot,control,Deli,0.472,25.883,NA,NA,86
LD065_20,CL020_20,cold,control,Deli,0.55,NA,NA,NA,69
LD074_20,CL023_20,cold,ablated,Deli,0.252,21.696,31.849,53.545,54
LD076_20,CL023_20,cold,control,Deli,0.311,26.254,39.122,65.376,55
LD090_20,CL027_20,cold,ablated,Deli,0.288,23.669,35.379,59.048,57
LD157_20,CL046_20,hot,control,Deli,0.314,24.832,33.64,58.472,66
LD162_20,CL048_20,cold,ablated,Deli,0.273,22.761,29.021,51.782,40
LD163_20,CL048_20,hot,ablated,Deli,0.403,26.14,43.022,69.162,89
LD169_20,CL049_20,cold,control,Deli,0.328,24.75,34.177,58.927,50
LD172_20,CL050_20,hot,control,Deli,0.395,25.198,39.849,65.047,70
LD173_20,CL050_20,cold,ablated,Deli,0.25,22.552,34.235,56.787,39
LD178_20,CL052_20,cold,ablated,Deli,0.252,21.618,34.018,55.636,50
LD181_20,CL052_20,cold,control,Deli,0.258,23.755,36.369,60.124,50
LD182_20,CL053_20,cold,ablated,Deli,0.373,25.429,40.404,65.833,65
LD183_20,CL053_20,hot,ablated,Deli,0.476,27.473,NA,NA,76
LD185_20,CL053_20,cold,control,Deli,0.296,23.516,31.79,55.306,64
LD186_20,CL054_20,cold,ablated,Deli,0.29,23.113,32.654,55.767,39
LD191_20,CL055_20,hot,ablated,Deli,0.363,26.108,39.914,66.022,58
LD192_20,CL055_20,hot,control,Deli,0.278,22.841,NA,NA,38
LD200_20,CL057_20,hot,control,Deli,0.331,25.999,NA,NA,67
LD201_20,CL057_20,cold,control,Deli,0.268,23.051,38.254,61.305,47
LD202_20,CL058_20,cold,ablated,Deli,0.262,22.082,NA,NA,59
LD204_20,CL058_20,hot,control,Deli,0.316,25.541,29.456,54.997,56
LD209_20,CL059_20,cold,control,Deli,0.255,22.109,36.438,58.547,38
LD227_20,CL066_20,hot,ablated,Deli,0.322,27.068,NA,NA,68
LD228_20,CL066_20,hot,control,Deli,0.334,25.13,36.875,62.005,67
LD237_20,CL069_20,hot,control,Deli,0.374,25.094,38.84,63.934,56
LD238_20,CL069_20,cold,control,Deli,0.24,22.569,31.419,53.988,50
LD241_20,CL070_20,cold,ablated,Deli,0.251,21.882,33.909,55.791,37
LD242_20,CL070_20,hot,ablated,Deli,0.471,26.523,42.097,68.62,75
LD243_20,CL070_20,cold,ablated,Deli,0.211,22.596,31.302,53.898,37
LD257_20,Cl076_20,cold,ablated,Deli,0.259,21.873,33.795,55.668,45
LD258_20,Cl076_20,hot,ablated,Deli,0.257,23.566,36.614,60.18,54
LD263_20,CL078_20,hot,control,Deli,0.394,27.002,42.175,69.177,50
LD264_20,CL078_20,hot,ablated,Deli,0.383,25.559,40.586,66.145,72
LD269_20,CL079_20,cold,control,Deli,0.383,24.703,32.739,57.442,55
LD280_20,CL084_20,hot,control,Deli,0.277,23.846,36.798,60.644,62
LD281_20,CL084_20,hot,ablated,Deli,0.429,26.948,37.733,64.681,72
LD282_20,CL084_20,cold,ablated,Deli,0.229,23.016,31.173,54.189,44
