"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","Weigth","Distance.moved","Time_hide_sec","Time_snout_sec","Time_emerge_sec","SVL","Tail","Total","Tail_intact","day","speed_1m_s","burst_25cm","age","Notes","Notes.1","Notes.2.y","logTimeSnout","logspeed_1m","logspeed_burst","logTime_emerge_sec"
"1","LD021_20","CL007_20","1/12/2020","31/1/2021","cold","ablated","Deli",0.503,1453.31,43,364,1610,28.506,NA,NA,"Yes",1,2.88,0.95,61,"tail tip is invisible","","",5.89715386763674,1.05779029414785,-0.0512932943875506,7.38398945797851
"2","LD027_20","CL008_20","8/12/2020","31/1/2021","cold","control","Deli",0.324,661.613,6,2887,3724,25.34,36.999,62.339,"Yes",1,2.71,1.07,54,"","","",7.96797317966293,0.99694863489161,0.0676586484738149,8.22255363839696
"3","LD035_20","CL012_20","7/12/2020","11/2/2021","cold","control","Deli",0.359,62.0564,11,2036,5219,26.035,35.531,61.566,"Yes",1,3.21,1.21,66,"","","",7.61874237767041,1.16627093714192,0.19062035960865,8.56006109164341
"4","LD046_20","CL015_20","24/11/2020","31/1/2021","hot","ablated","Deli",0.321,605.448,208,NA,NA,25.036,40.75,65.786,"Yes",1,4.85,1.31,68,"","","",NA,1.57897870494939,0.27002713721306,NA
"5","LD047_20","CL015_20","10/12/2020","31/1/2021","cold","control","Deli",0.345,482.63,20,4844,NA,25.286,NA,NA,"Yes",1,2.84,0.76,52,"tail tip is invisible","","",8.48549610467298,1.04380405217311,-0.27443684570176,NA
"6","LD049_20","CL016_20","14/12/2020","31/1/2021","cold","control","Deli",0.288,1582.96,11,3796,5023,23.907,36.375,60.282,"Yes",1,3.11,1.15,48,"","","",8.24170315972982,1.13462272619114,0.139761942375159,8.52178264375005
"7","LD050_20","CL016_20","16/12/2020","11/2/2021","cold","ablated","Deli",0.316,752.477,177,493,932,24.177,36.386,60.563,"Yes",1,5.36,1.45,57,"","","",6.20050917404269,1.67896397508271,0.371563556432483,6.83733281468559
"8","LD058_20","CL019_20","24/11/2020","31/1/2021","hot","ablated","Deli",0.398,531.908,2,1416,1750,25.3,45.39,70.69,"Yes",1,2.81,0.88,68,"","","",7.25559127425367,1.03318448334565,-0.127833371509885,7.46737106691756
"9","LD061_20","CL020_20","25/11/2020","11/2/2021","hot","ablated","Deli",0.486,371.93,1,NA,NA,30.147,44.976,75.123,"Yes",1,2.12,0.79,78,"wrong V1.1","","",NA,0.751416088683921,-0.23572233352107,NA
"10","LD064_20","CL020_20","27/11/2020","21/2/2021","hot","control","Deli",0.472,645.86,3,3298,4655,25.883,NA,NA,"Yes",1,2.29,0.64,86,"has two photos","","",8.10107150311954,0.828551817566148,-0.446287102628419,8.44569718971117
"11","LD065_20","CL020_20","14/12/2020","21/2/2021","cold","control","Deli",0.55,612.983,5,798,3266,NA,NA,NA,"Yes",1,3.84,1.27,69,"no photo, probably with wrong ID (LD064)","","",6.68210859744981,1.34547236659964,0.2390169004705,8.09132127353041
"12","LD074_20","CL023_20","19/12/2020","11/2/2021","cold","ablated","Deli",0.252,586.561,18,NA,NA,21.696,31.849,53.545,"Yes",1,3.3,1,54,"","","",NA,1.19392246847243,0,NA
"13","LD076_20","CL023_20","18/12/2020","11/2/2021","cold","control","Deli",0.311,980.76,5,1017,3492,26.254,39.122,65.376,"Yes",1,5.6,1.84,55,"","","",6.92461239604856,1.7227665977411,0.609765571620894,8.15822991695949
"14","LD090_20","CL027_20","16/12/2020","11/2/2021","cold","ablated","Deli",0.288,430.128,15,1341,1373,23.669,35.379,59.048,"Yes",1,1.99,0.72,57,"","","",7.20117088328168,0.688134638736401,-0.328504066972036,7.22475340576797
"15","LD157_20","CL046_20","7/12/2020","11/2/2021","hot","control","Deli",0.314,1081.55,2,NA,NA,24.832,33.64,58.472,"Yes",1,4.63,1.4,66,"","","",NA,1.53255686809814,0.336472236621213,NA
"16","LD162_20","CL048_20","22/12/2020","31/1/2021","cold","ablated","Deli",0.273,697.518,1,452,1491,22.761,29.021,51.782,"Yes",1,2.83,0.83,40,"","","",6.11368217983223,1.04027671165515,-0.186329578191493,7.30720231476474
"17","LD163_20","CL048_20","3/12/2020","2/3/2021","hot","ablated","Deli",0.403,1159.09,3,4215,5132,26.14,43.022,69.162,"Yes",1,6.21,1.77,89,"","","",8.34640487043596,1.82616089594539,0.570979546585738,8.54325072573553
"18","LD169_20","CL049_20","23/12/2020","11/2/2021","cold","control","Deli",0.328,654.254,2,1646,3649,24.75,34.177,58.927,"Yes",1,2.85,0.83,50,"","","",7.40610338123702,1.04731899428056,-0.186329578191493,8.20220843643645
"19","LD172_20","CL050_20","3/12/2020","11/2/2021","hot","control","Deli",0.395,532.265,3,1460,2134,25.198,39.849,65.047,"Yes",1,2.68,0.92,70,"","","",7.28619171470238,0.985816794522765,-0.083381608939051,7.6657534318617
"21","LD178_20","CL052_20","23/12/2020","11/2/2021","cold","ablated","Deli",0.252,636.461,4,1826,NA,21.618,34.018,55.636,"Yes",1,16.89,14.12,50,"","","",7.50988306115491,2.82672173081971,2.6475922320651,NA
