"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","mass.hatch","SVL_hatch","Tail_length_hatch","Weigth","Distance.moved","Time_hide_sec","Time_snout_sec","Time_emerge_sec","SVL","Tail","Total","Tail_intact","day","speed_1m_s","burst_25cm","X25fast","age","Notes","Notes.1","Notes.2.y","time_tohide","time_hiding","time_active","maternal","scaleage","svldeli","logTimeSnout","logspeed_1m","logspeed_burst","logTime_emerge_sec","z_svl"
"1","LD021_20","CL007_20","1/12/2020","31/1/2021","cold","ablated","Deli",0.134,19.015,25.873,0.503,1453.31,43,364,1610,28.506,NA,NA,"Yes",1,2.88,0.95,0.5,61,"tail tip is invisible","","",43,364,1610,"ablated",0.405729674260802,2.27430803041191,5.89715386763674,1.05779029414785,-0.693147180559945,7.38398945797851,2.27430803041191
"2","LD027_20","CL008_20","8/12/2020","31/1/2021","cold","control","Deli",0.109,17.989,22.382,0.324,661.613,6,2887,3724,25.34,36.999,62.339,"Yes",1,2.71,1.07,0.47,54,"","","",6,2887,3724,"control",-0.178796127640353,0.67611168894564,7.96797317966293,0.99694863489161,-0.755022584278033,8.22255363839696,0.67611168894564
"3","LD035_20","CL012_20","7/12/2020","11/2/2021","cold","control","Deli",0.112,17.167,22.305,0.359,62.0564,11,2036,5219,26.035,35.531,61.566,"Yes",1,3.21,1.21,0.52,66,"","","",11,2036,5219,"control",0.823248104190198,1.02694758828836,7.61874237767041,1.16627093714192,-0.653926467406664,8.56006109164341,1.02694758828836
"4","LD046_20","CL015_20","24/11/2020","31/1/2021","hot","ablated","Deli",0.103,17.877,24.752,0.321,605.448,208,NA,NA,25.036,40.75,65.786,"Yes",1,4.85,1.31,1,68,"","","",208,NA,NA,"ablated",0.990255476161957,0.522652532974148,NA,1.57897870494939,0,NA,0.522652532974148
"5","LD047_20","CL015_20","10/12/2020","31/1/2021","cold","control","Deli",0.119,18.047,26.236,0.345,482.63,20,4844,NA,25.286,NA,NA,"Yes",1,2.84,0.76,0.68,52,"tail tip is invisible","","",20,4844,NA,"control",-0.345803499612112,0.648852496766494,8.48549610467298,1.04380405217311,-0.385662480811985,NA,0.648852496766494
"6","LD049_20","CL016_20","14/12/2020","31/1/2021","cold","control","Deli",0.136,17.932,25.872,0.288,1582.96,11,3796,5023,23.907,36.375,60.282,"Yes",1,3.11,1.15,0.61,48,"","","",11,3796,5023,"control",-0.679818243555629,-0.0472665035120876,8.24170315972982,1.13462272619114,-0.49429632181478,8.52178264375005,-0.0472665035120876
"7","LD050_20","CL016_20","16/12/2020","11/2/2021","cold","ablated","Deli",0.126,18.571,24.267,0.316,752.477,177,493,932,24.177,36.386,60.563,"Yes",1,5.36,1.45,1.14,57,"","","",177,493,932,"ablated",0.0717149303172846,0.0890294573836459,6.20050917404269,1.67896397508271,0.131028262406404,6.83733281468559,0.0890294573836459
"8","LD058_20","CL019_20","24/11/2020","31/1/2021","hot","ablated","Deli",0.088,NA,NA,0.398,531.908,2,1416,1750,25.3,45.39,70.69,"Yes",1,2.81,0.88,0.6,68,"","","",2,1416,1750,"ablated",0.990255476161957,0.655919694738865,7.25559127425367,1.03318448334565,-0.510825623765991,7.46737106691756,0.655919694738865
"9","LD061_20","CL020_20","25/11/2020","11/2/2021","hot","ablated","Deli",0.126,18.799,25.124,0.486,371.93,1,NA,NA,30.147,44.976,75.123,"Yes",1,2.12,0.79,0.01,78,"wrong V1.1","","",1,NA,NA,"ablated",1.82529233602075,3.10268459274487,NA,0.751416088683921,-4.60517018598809,NA,3.10268459274487
"10","LD064_20","CL020_20","27/11/2020","21/2/2021","hot","control","Deli",0.131,18.88,28.375,0.472,645.86,3,3298,4655,25.883,NA,NA,"Yes",1,2.29,0.64,0.5,86,"has two photos","","",3,3298,4655,"control",2.49332182390778,0.950218010302615,8.10107150311954,0.828551817566148,-0.693147180559945,8.44569718971117,0.950218010302615
"11","LD065_20","CL020_20","14/12/2020","21/2/2021","cold","control","Deli",0.146,19.364,26.081,0.55,612.983,5,798,3266,NA,NA,NA,"Yes",1,3.84,1.27,0.76,69,"no photo, probably with wrong ID (LD064)","","",5,798,3266,"control",1.07375916214784,NA,6.68210859744981,1.34547236659964,-0.27443684570176,8.09132127353041,NA
"12","LD074_20","CL023_20","19/12/2020","11/2/2021","cold","ablated","Deli",0.093,15.618,21.864,0.252,586.561,18,NA,NA,21.696,31.849,53.545,"Yes",1,3.3,1,0.64,54,"","","",18,NA,NA,"ablated",-0.178796127640353,-1.1633789832916,NA,1.19392246847243,-0.44628710262842,NA,-1.1633789832916
"13","LD076_20","CL023_20","18/12/2020","11/2/2021","cold","control","Deli",0.113,18.444,26.497,0.311,980.76,5,1017,3492,26.254,39.122,65.376,"Yes",1,5.6,1.84,1.04,55,"","","",5,1017,3492,"control",-0.0952924416544739,1.13749875657046,6.92461239604856,1.7227665977411,0.0392207131532813,8.15822991695949,1.13749875657046
