"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","mass.hatch","SVL_hatch","Tail_length_hatch","Weigth","Distance.moved","Time_hide_sec","Time_snout_sec","Time_emerge_sec","SVL","Tail","Total","Tail_intact","day","speed_1m_s","burst_25cm","X25fast","age","Notes","Notes.1","Notes.2.y","time_tohide","time_hiding","time_active","maternal","svlguich","logTimeSnout","logspeed_1m","logspeed_burst","logTime_emerge_sec","z_svl"
"89","LG029_20","CL009_20","8/12/2020","31/1/2021","cold","control","Guich",0.15,21.106,24.149,0.387,1188.94,5,1263,1542,27.189,NA,NA,"Yes",1,2.03,0.85,0.33,54,"tail tip is invisible","","",5,1263,1542,"control",0.509954566449534,7.14124512235049,0.708035793053696,-1.10866262452161,7.34083555412327,0.509954566449534
"90","LG032_20","CL011_20","11/12/2020","31/1/2021","cold","control","Guich",0.165,19.211,27.654,0.397,1066.76,3,28,1390,27.205,NA,NA,"Yes",1,4.31,1.47,0.7,51,"","","",3,28,1390,"control",0.517197159687146,3.3322045101752,1.46093790411566,-0.356674943938732,7.23705902612474,0.517197159687146
"91","LG039_20","CL013_20","9/12/2020","31/1/2021","cold","control","Guich",0.115,18.067,24.606,0.376,318.4,9,86,1542,28.52,NA,NA,"Yes",1,4.91,1.78,1.03,53,"tail tip is invisible","","",9,86,1542,"control",1.11244779140341,4.45434729625351,1.59127394180643,0.0295588022415444,7.34083555412327,1.11244779140341
"92","LG053_20","CL017_20","13/12/2020","31/1/2021","cold","ablated","Guich",0.122,19.444,23.726,0.379,760.213,3,2218,NA,NA,NA,NA,"Yes",1,4.69,1.86,0.78,49,"too blurred to set scale","","",3,2218,NA,"ablated",NA,7.70436116791031,1.54543258245819,-0.2484613592985,NA,NA
"94","LG056_20","CL018_20","16/12/2020","31/1/2021","cold","ablated","Guich",0.141,20.422,26.645,0.401,488.732,60,6778,NA,24.392,37.651,62.043,"Yes",1,5.64,2.15,0.93,46,"","","",60,6778,NA,"ablated",-0.75614126390057,8.821437352167,1.72988406550997,-0.0725706928348354,NA,-0.75614126390057
"95","LG067_20","CL021_20","27/11/2020","31/1/2021","hot","ablated","Guich",0.174,20.772,26.923,0.564,703.317,2,2770,3975,27.499,42.231,69.73,"Yes",1,6.15,3.22,0.94,65,"","","",2,2770,3975,"ablated",0.650279810428272,7.92660259918138,1.81645208181843,-0.0618754037180875,8.28778002708843,0.650279810428272
"96","LG068_20","CL021_20","27/11/2020","31/1/2021","hot","control","Guich",0.18,20.969,26.413,0.479,470.395,1,1196,1378,29.281,39.712,68.993,"Yes",1,2.64,0.96,0.38,65,"","","",1,1196,1378,"control",1.45692363226734,7.08673793451058,0.970778917158225,-0.967584026261706,7.2283884515736,1.45692363226734
"97","LG069_20","CL022_20","17/12/2020","31/1/2021","cold","control","Guich",0.165,20.914,26.974,0.327,1141.63,27,401,650,24.957,38.847,63.804,"Yes",1,3.42,1.12,0.64,45,"","","",27,401,650,"control",-0.500387190197384,5.99396142730657,1.22964055107451,-0.44628710262842,6.47697236288968,-0.500387190197384
"98","LG084_20","CL025_20","25/12/2020","2/3/2021","cold","control","Guich",0.129,20.002,28.225,0.469,319.942,14,3860,NA,NA,NA,NA,"Yes",1,2.72,0.73,0.57,67,"no photo, probably with wrong ID","","",14,3860,NA,"control",NA,8.25842246245888,1.00063188030791,-0.562118918153541,NA,NA
"99","LG087_20","CL026_20","1/12/2020","11/2/2021","hot","ablated","Guich",0.154,19.679,28.122,0.532,559.72,3,51,83,31.193,46.487,77.68,"Yes",1,2.94,1.17,0.48,72,"","","",3,51,83,"ablated",2.32241352416202,3.93182563272433,1.07840958135059,-0.7339691750802,4.4188406077966,2.32241352416202
"100","LG088_20","CL026_20","21/12/2020","21/2/2021","cold","ablated","Guich",0.155,20.03,28.582,0.374,776.988,70,328,577,NA,NA,NA,"Yes",1,3.39,0.96,0.74,62,"cannot see cloaca","V2.4 wrong","",70,328,577,"ablated",NA,5.79301360838414,1.22082992139236,-0.301105092783922,6.3578422665081,NA
"101","LG089_20","CL026_20","21/12/2020","31/1/2021","cold","control","Guich",0.17,20.186,28.755,0.416,2996.82,59,153,282,27.481,41.226,68.707,"Yes",1,5.46,1.88,0.89,41,"","","second run",59,153,282,"control",0.64213189303596,5.03043792139244,1.69744878975681,-0.116533816255952,5.64190707093811,0.64213189303596
"102","LG097_20","CL029_20","2/12/2020","31/1/2021","hot","ablated","Guich",0.117,18.626,23.983,0.457,687.238,6,610,2981,26.372,43.668,70.04,"Yes",1,4.44,1.58,0.75,60,"","","",6,610,2981,"ablated",0.140129649253955,6.41345895716736,1.49065437644413,-0.287682072451781,8.00001409367807,0.140129649253955
"103","LG100_20","CL029_20","21/12/2020","11/2/2021","cold","ablated","Guich",0.13,19.363,23.505,0.388,1121.23,7,375,655,27.365,39.322,66.687,"Yes",1,2.25,1.2,0.15,52,"wrong V1.1","","",7,375,655,"ablated",0.589623092063269,5.92692602597041,0.810930216216329,-1.89711998488588,6.48463523563525,0.589623092063269
"104","LG101_20","CL029_20","1/12/2020","31/1/2021","hot","control","Guich",0.126,16.912,23.351,0.461,639.421,81,664,4007,29.664,42.346,72.01,"Yes",1,2.18,0.74,0.3,61,"","","",81,664,4007,"control",1.63029320789269,6.49828214947643,0.779324876800998,-1.20397280432594,8.29579811063615,1.63029320789269
"105","LG102_20","CL029_20","22/12/2020","31/1/2021","cold","control","Guich",0.129,19.344,25.289,0.359,777.254,5,3442,7818,23.94,35.209,59.149,"Yes",1,9.33,4.73,1.35,40,"","","",5,3442,7818,"control",-0.960744522863117,8.14380797677148,2.23323501485925,0.300104592450338,8.9641840463529,-0.960744522863117
"106","LG104_20","CL030_20","23/12/2020","21/2/2021","cold","ablated","Guich",0.163,20.372,25.838,0.545,19.3447,22,2308,5091,26.245,41.193,67.438,"Yes",1,4.04,1.36,0.8,60,"","","",22,2308,5091,"ablated",0.0826415654304075,7.74413662762799,1.39624469197306,-0.22314355131421,8.53522955390234,0.0826415654304075
"107","LG109_20","CL030_20","23/12/2020","11/2/2021","cold","ablated","Guich",0.152,19.588,24.931,0.333,771.012,2,1092,1094,23.241,35.779,59.02,"Yes",1,2.77,1.23,0.3,50,"","","",2,1092,1094,"ablated",-1.27715531493131,6.99576615630485,1.01884732019925,-1.20397280432594,6.99759598298193,-1.27715531493131
"108","LG111_20","CL031_20","21/12/2020","11/2/2021","cold","ablated","Guich",0.122,19.078,23.579,0.342,2083.31,140,483,684,25.947,37.045,62.992,"Yes",1,4.68,1.93,0.85,52,"","","",140,483,684,"ablated",-0.0522517336201227,6.18001665365257,1.54329810992956,-0.162518929497775,6.52795791762255,-0.0522517336201227
